Feature	Task	Who	Version	Orig Est	Curr Est	Elapsed	Remain
colorset	"colorsetWindow: create options for colorset (indicate multiple values per gene, no criteria met..)"	Thomas	1.0 beta				done	
drawing	give drawing order to objects	Thomas	1.0 beta				done	
drawing / colorset	disable color by expression when editing	Thomas	1.0 beta				done	
gdb	create gene databases from ensembl	Thomas	1.0 beta				done	mens + muis + rat + gist
gdb / expression data	"choose representative file for database (.properties), fix filechoosers"	Thomas	1.0 beta				done	
gex builder	import exprssion data from text	Thomas	1.0 beta				done	
gex builder	create ui window for gex import	Thomas	1.0 beta				done	
gui	add imageregistry for managing icons	Thomas	1.0 beta				done	
colorset	add error messages to color by criteria	Thomas	1.0 beta				done	
drawing	add delete function for graphics objects	Thomas 	1.0 beta				done	
editor	"handles on corners of drawing objects, no handle in center"	Thomas	1.0 beta				done	
visualization	formalize API for visualization classes: plugin structure	Thomas	1.0 beta				done	"3 visualization types: tooltip, drawing, sidepanel; choose and setup via colorset dialog"
visualization	Enable anti-aliasing for icons	Thomas	1.0 beta				done	extra dll file needed in windows!
bug/misfeature	automaticly add name for new gradient/criterion	Thomas	1.0 beta				done	
Packaging	Java webstart release	Martijn	1.0 beta				done	
gmml visualization	fill color voor shapes toevoegen aan gpml	Martijn	1.0 beta	4				
bugs	lijn kleur bij converteren negeren.	Martijn	1.0 beta	2				
editor	"copy/paste of gmml objects, within program"	Martijn	1.0 beta	4	2	2	done	
help	open help pages on wiki	Thomas	1.0 beta				done	
database	"try to put db files into a single file (e.g. zip or jar without compression), regenerate in derby format"	Thomas	1.0 beta				done	
packaging	aankondiging beta (website + mailtje)	All	1.0 beta					
Packaging	revision nr + version nr in about box	Martijn	1.0 beta	4				
editor	rename gmml to gpml	Martijn	1.0 beta	2	2	2	done	
editor	rename program to PathVisio	Martijn	1.0 beta	2	2	2	done	
Packaging	"rename classes org.bigcat.*, gmml -> gpml of weg"	Martijn	1.0 beta	4				
Packaging	"Copyright notice in all source files, license file"	Martijn	1.0 beta	0	2	2	done	
Packaging	"twee webstarts, een voor 1.0 en een voor 2.0 met verschillende jars"	Martijn	1.0 beta	8	8	8	done	
Packaging	"fix jar-signing so only changed jars are signed, saves time in compilation and downloading through webstart"	Martijn	1	4				
editor	link graphrefs en graphids through GUI	Martijn	1	8				
gmml visualization	add graphical representation for all supported GMML objects	Martijn	1					
gmml visualization	add support for Molecular Interaction Maps	Martijn	1					
Packaging	Test webstart in mac	Martijn	1	4				
help	write help pages on wiki	Thomas	1					
test	"user test: edit mapp, visualize data from tab-delimited text file"	All	1					december
drawing	align to straight angles	Thomas	1					van belang voor MIM
drawing	"undo/redo, quick solution: store entire drawing"	Martijn	1	12				
property editor	adding geneproduct: option to search id in gdb	Thomas	1					
UI	"Check for modification, ask to save when quitting program"	Martijn	1	4				
editor	scroll when moving object out of display	Martijn	1	4				
editor	check if objects are moved out of drawing boundaries and expand if so	Thomas	1					
editor	auto-calculate drawing board size on open	Thomas	1					
shell integration	double click on gmml file opens in GmmlVision	Martijn	1	4				
bug/misfeature	dropdownlist for new line: add normal line without dropdown	Thomas	1					
editor	quick gene insert dialog	Martijn	1	8				
editor	right-click = add segment to line	Martijn	1	16			
optimization	Don't create unneccessary handles		2.0 alpha				
optimization	link events together at places where you generate a lot of events		2.0 alpha				
documentation	apidoc documentatie	Thomas	2.0 alpha				
visualization	Add visualization plugin to add expression value(s) next to genebox	Thomas	2.0 alpha				done
visualization	Add visualization plugin to color with horizontal bar per multiple annotation	Thomas	2.0 alpha				done
visualization	Increase icon size to 64x64/128x128	Martijn	2.0 alpha				
visualization	Find optimal font size for labels (to fit in gene box)	Thomas	2.0 alpha				
statistics	Gmml from R: create API that can be called from R	Thomas	2.0 alpha				done
Packaging	R interface afmaken	Thomas	2.0 alpha				
editor	copy/paste as outside program as gpml fragment	Martijn	later				
mapp conversion	automatic conversion of GenMAPP mapps to Gmml	Martijn	later				
packaging	daily build server	Martijn	later				
documentation	wiki pagina voor developers: how to get started with eclipse + simple objectives	Martijn	later				
drawing	align to grid	Thomas	later				
drawing	align/resize buttons	Thomas	later				
SNP	Test human SNP database: design feasible method to include SNP data		later					after SNP course
editor	add 'using ... Gex' to statusbar	Thomas	later					
editor	nudge: move object with arrow keys		later					
visualization	"Add visualization plugin to display labels as LATEX, to display formulas"	Martijn	later					
gdb	support using multilple gdb's at the same time		later					specify priority for which database to search first
gdb	remove dependency on ENSEMBL Gene		later					
editor	"undo/redo, more sophisticated solution: only store objects that are changed"	Martijn	later					
visualization	export function to html/bmp/pdf		later					
gdb	gene database editor (e.g. To edit 'others' table)		later					first look for generic hsqldb editor
UI	"Multiple documents: open multiple pathways, by split-window button"		later					
command line	batch mapping		later					
command line	get version		later					
command line	help		later					
editor	find gene in database		later					
Gmml format	Incorporate experimental Biopax xsd into project	Martijn	later					
