GeneID	SystemCode	Label	Head	Remarks	MAPPName
1451512_s_at	X	Hibch			PPAR-Alpha_Targets.MAPP
LABEL		ketone body synthesis			PPAR-Alpha_Targets.MAPP
1431833_a_at	X	Hmgcs2			PPAR-Alpha_Targets.MAPP
1423858_a_at	X	Hmgcs2			PPAR-Alpha_Targets.MAPP
1424639_a_at	X	Hmgcl			PPAR-Alpha_Targets.MAPP
1424182_at	X	Acat1			PPAR-Alpha_Targets.MAPP
1424183_at	X	Acat1			PPAR-Alpha_Targets.MAPP
1451271_a_at	X	Acat1			PPAR-Alpha_Targets.MAPP
LABEL		microsomal fatty acid oxidation			PPAR-Alpha_Targets.MAPP
1423257_at	X	Cyp4a14			PPAR-Alpha_Targets.MAPP
1424352_at	X	Cyp4a12			PPAR-Alpha_Targets.MAPP
1424943_at	X	Cyp4a10			PPAR-Alpha_Targets.MAPP
1440134_at	X	Cyp4a10			PPAR-Alpha_Targets.MAPP
1424853_s_at	X	Cyp4a10			PPAR-Alpha_Targets.MAPP
1415776_at	X	Aldh3a2			PPAR-Alpha_Targets.MAPP
LABEL		fatty acid binding proteins			PPAR-Alpha_Targets.MAPP
1448764_a_at	X	Fabp1			PPAR-Alpha_Targets.MAPP
1417556_at	X	Fabp1			PPAR-Alpha_Targets.MAPP
1418438_at	X	Fabp2			PPAR-Alpha_Targets.MAPP
1444844_at	X	Fabp3			PPAR-Alpha_Targets.MAPP
1416023_at	X	Fabp3			PPAR-Alpha_Targets.MAPP
1425809_at	X	Fabp4			PPAR-Alpha_Targets.MAPP
1417023_a_at	X	Fabp4			PPAR-Alpha_Targets.MAPP
1451263_a_at	X	Fabp4			PPAR-Alpha_Targets.MAPP
1424155_at	X	Fabp4			PPAR-Alpha_Targets.MAPP
1456290_x_at	X	Fabp5			PPAR-Alpha_Targets.MAPP
1416022_at	X	Fabp5			PPAR-Alpha_Targets.MAPP
1416021_a_at	X	Fabp5			PPAR-Alpha_Targets.MAPP
1450682_at	X	Fabp6			PPAR-Alpha_Targets.MAPP
1450779_at	X	Fabp7			PPAR-Alpha_Targets.MAPP
		Pmp2			PPAR-Alpha_Targets.MAPP
1421804_at	X	Fabp9			PPAR-Alpha_Targets.MAPP
1417076_at	X	Fabp9			PPAR-Alpha_Targets.MAPP
LABEL		lipogenesis			PPAR-Alpha_Targets.MAPP
1420715_a_at	X	Pparg			PPAR-Alpha_Targets.MAPP
1426690_a_at	X	Srebf1			PPAR-Alpha_Targets.MAPP
1417098_s_at	X	Mecr			PPAR-Alpha_Targets.MAPP
		TER			PPAR-Alpha_Targets.MAPP
1459530_at	X	KAR			PPAR-Alpha_Targets.MAPP
1450010_at	X	KAR			PPAR-Alpha_Targets.MAPP
1450011_at	X	KAR			PPAR-Alpha_Targets.MAPP
1441891_x_at	X	Elovl7			PPAR-Alpha_Targets.MAPP
1424098_at	X	Elovl7			PPAR-Alpha_Targets.MAPP
1440354_at	X	Elovl7			PPAR-Alpha_Targets.MAPP
1440312_at	X	Elovl7			PPAR-Alpha_Targets.MAPP
1424097_at	X	Elovl7			PPAR-Alpha_Targets.MAPP
1445578_at	X	Elovl6			PPAR-Alpha_Targets.MAPP
1417403_at	X	Elovl6			PPAR-Alpha_Targets.MAPP
1417404_at	X	Elovl6			PPAR-Alpha_Targets.MAPP
1445062_at	X	Elovl6			PPAR-Alpha_Targets.MAPP
1442656_at	X	Elovl6			PPAR-Alpha_Targets.MAPP
1459242_at	X	Elovl5			PPAR-Alpha_Targets.MAPP
1415840_at	X	Elovl5			PPAR-Alpha_Targets.MAPP
1437211_x_at	X	Elovl5			PPAR-Alpha_Targets.MAPP
1442409_at	X	Elovl5			PPAR-Alpha_Targets.MAPP
1451308_at	X	Elovl4			PPAR-Alpha_Targets.MAPP
1420722_at	X	Elovl3			PPAR-Alpha_Targets.MAPP
1416444_at	X	Elovl2			PPAR-Alpha_Targets.MAPP
1425676_a_at	X	Elovl1			PPAR-Alpha_Targets.MAPP
1455994_x_at	X	Elovl1			PPAR-Alpha_Targets.MAPP
		Scd4			PPAR-Alpha_Targets.MAPP
1423366_at	X	Scd3			PPAR-Alpha_Targets.MAPP
1450956_at	X	Scd3			PPAR-Alpha_Targets.MAPP
1415824_at	X	Scd2			PPAR-Alpha_Targets.MAPP
1415823_at	X	Scd2			PPAR-Alpha_Targets.MAPP
1415822_at	X	Scd2			PPAR-Alpha_Targets.MAPP
1415965_at	X	Scd1			PPAR-Alpha_Targets.MAPP
1415964_at	X	Scd1			PPAR-Alpha_Targets.MAPP
1440444_at	X	Fads1			PPAR-Alpha_Targets.MAPP
1423680_at	X	Fads1			PPAR-Alpha_Targets.MAPP
1443904_at	X	Fads1			PPAR-Alpha_Targets.MAPP
1419031_at	X	Fads2			PPAR-Alpha_Targets.MAPP
1443838_x_at	X	Fads2			PPAR-Alpha_Targets.MAPP
1449325_at	X	Fads2			PPAR-Alpha_Targets.MAPP
1418773_at	X	Fads3			PPAR-Alpha_Targets.MAPP
1435910_at	X	Fads3			PPAR-Alpha_Targets.MAPP
1416632_at	X	Mod1			PPAR-Alpha_Targets.MAPP
1430307_a_at	X	Mod1			PPAR-Alpha_Targets.MAPP
1419399_at	X	Mttp			PPAR-Alpha_Targets.MAPP
1419400_at	X	Mttp			PPAR-Alpha_Targets.MAPP
1439445_x_at	X	Acly			PPAR-Alpha_Targets.MAPP
1439459_x_at	X	Acly			PPAR-Alpha_Targets.MAPP
1425326_at	X	Acly			PPAR-Alpha_Targets.MAPP
1451666_at	X	Acly			PPAR-Alpha_Targets.MAPP
1423828_at	X	Fasn			PPAR-Alpha_Targets.MAPP
1444810_at	X	Acaca			PPAR-Alpha_Targets.MAPP
1434185_at	X	Acaca			PPAR-Alpha_Targets.MAPP
1427595_at	X	Acaca			PPAR-Alpha_Targets.MAPP
1427052_at	X	Acacb			PPAR-Alpha_Targets.MAPP
1425834_a_at	X	Gpam			PPAR-Alpha_Targets.MAPP
1419499_at	X	Gpam			PPAR-Alpha_Targets.MAPP
1418295_s_at	X	Dgat1			PPAR-Alpha_Targets.MAPP
1422678_at	X	Dgat2			PPAR-Alpha_Targets.MAPP
1422677_at	X	Dgat2			PPAR-Alpha_Targets.MAPP
1421025_at	X	Agpat1			PPAR-Alpha_Targets.MAPP
1421024_at	X	Agpat1			PPAR-Alpha_Targets.MAPP
1428821_at	X	Agpat2			PPAR-Alpha_Targets.MAPP
1433818_s_at	X	Agpat3			PPAR-Alpha_Targets.MAPP
1433819_s_at	X	Agpat3			PPAR-Alpha_Targets.MAPP
1450504_a_at	X	Agpat3			PPAR-Alpha_Targets.MAPP
		Agpat5			PPAR-Alpha_Targets.MAPP
1450776_at	X	Agpat6			PPAR-Alpha_Targets.MAPP
1422841_at	X	Agpat6			PPAR-Alpha_Targets.MAPP
1436276_at	X	Agpat6			PPAR-Alpha_Targets.MAPP
1419504_at	X	Mogat1			PPAR-Alpha_Targets.MAPP
1416955_at	X	Slc25a10			PPAR-Alpha_Targets.MAPP
LABEL		fatty acid activation			PPAR-Alpha_Targets.MAPP
1422526_at	X	Acsl1			PPAR-Alpha_Targets.MAPP
1460316_at	X	Acsl1			PPAR-Alpha_Targets.MAPP
1423883_at	X	Acsl1			PPAR-Alpha_Targets.MAPP
1450643_s_at	X	Acsl1			PPAR-Alpha_Targets.MAPP
1428386_at	X	Acsl3			PPAR-Alpha_Targets.MAPP
1452771_s_at	X	Acsl3			PPAR-Alpha_Targets.MAPP
1428082_at	X	Acsl5			PPAR-Alpha_Targets.MAPP
1451828_a_at	X	Acsl4			PPAR-Alpha_Targets.MAPP
1433531_at	X	Acsl4			PPAR-Alpha_Targets.MAPP
1418911_s_at	X	Acsl4			PPAR-Alpha_Targets.MAPP
1418668_at	X	Acsm1			PPAR-Alpha_Targets.MAPP
1427215_at	X	Acsm2			PPAR-Alpha_Targets.MAPP
1425559_a_at	X	Acsm3			PPAR-Alpha_Targets.MAPP
1422479_at	X	Acss2			PPAR-Alpha_Targets.MAPP
LABEL		lipases			PPAR-Alpha_Targets.MAPP
1453836_a_at	X	Mgll			PPAR-Alpha_Targets.MAPP
1450391_a_at	X	Mgll			PPAR-Alpha_Targets.MAPP
1426785_s_at	X	Mgll			PPAR-Alpha_Targets.MAPP
1442560_at	X	Mgll			PPAR-Alpha_Targets.MAPP
1422820_at	X	Lipe			PPAR-Alpha_Targets.MAPP
1428143_a_at	X	Pnpla2			PPAR-Alpha_Targets.MAPP
1419560_at	X	Lipc			PPAR-Alpha_Targets.MAPP
1450188_s_at	X	Lipg			PPAR-Alpha_Targets.MAPP
1421262_at	X	Lipg			PPAR-Alpha_Targets.MAPP
1415904_at	X	Lpl			PPAR-Alpha_Targets.MAPP
1431056_a_at	X	Lpl			PPAR-Alpha_Targets.MAPP
LABEL		fatty acid transport			PPAR-Alpha_Targets.MAPP
1435658_at	X	Slc27a1			PPAR-Alpha_Targets.MAPP
1422811_at	X	Slc27a1			PPAR-Alpha_Targets.MAPP
1416316_at	X	Slc27a2			PPAR-Alpha_Targets.MAPP
1427180_at	X	Slc27a3			PPAR-Alpha_Targets.MAPP
