GeneID	SystemCode	Label	Head	Remarks	MAPPName
1425644_at	X	Lepr			PPAR-Alpha_Targets.MAPP
1425875_a_at	X	Lepr			PPAR-Alpha_Targets.MAPP
1426516_a_at	X	Lpin1			PPAR-Alpha_Targets.MAPP
1418288_at	X	Lpin1			PPAR-Alpha_Targets.MAPP
1446316_at	X	Lpin2			PPAR-Alpha_Targets.MAPP
1460290_at	X	Lpin2			PPAR-Alpha_Targets.MAPP
1452837_at	X	Lpin2			PPAR-Alpha_Targets.MAPP
1452836_at	X	Lpin2			PPAR-Alpha_Targets.MAPP
1417867_at	X	And			PPAR-Alpha_Targets.MAPP
1446154_at	X	Bdh			PPAR-Alpha_Targets.MAPP
1426959_at	X	Bdh			PPAR-Alpha_Targets.MAPP
1452257_at	X	Bdh			PPAR-Alpha_Targets.MAPP
1438775_at	X	Ppargc1b			PPAR-Alpha_Targets.MAPP
1457578_at	X	Ppargc1b			PPAR-Alpha_Targets.MAPP
1460336_at	X	Ppargc1a			PPAR-Alpha_Targets.MAPP
1456395_at	X	Ppargc1a			PPAR-Alpha_Targets.MAPP
1437751_at	X	Ppargc1a			PPAR-Alpha_Targets.MAPP
1449818_at	X	Abcb4			PPAR-Alpha_Targets.MAPP
1434329_s_at	X	Adipor2			PPAR-Alpha_Targets.MAPP
1437864_at	X	Adipor2			PPAR-Alpha_Targets.MAPP
Various	L	Various			PPAR-Alpha_Targets.MAPP
1415996_at	X	Txnip			PPAR-Alpha_Targets.MAPP
1415997_at	X	Txnip			PPAR-Alpha_Targets.MAPP
1419105_at	X	 Nr1h4 			PPAR-Alpha_Targets.MAPP
1441915_s_at	X	2310076L09Rik			PPAR-Alpha_Targets.MAPP
1420983_at	X	Pctp			PPAR-Alpha_Targets.MAPP
1420984_at	X	Pctp			PPAR-Alpha_Targets.MAPP
1424011_at	X	Aqp9 			PPAR-Alpha_Targets.MAPP
1421605_a_at	X	Aqp9 			PPAR-Alpha_Targets.MAPP
