Ensembl Gene ID	Associated Gene Name
C17H1.13	C17H1.13
Y73E7A.8	Y73E7A.8
Y44E3A.6	Y44E3A.6
C24A11.1	C24A11.1
C36B1.11	C36B1.11
Y71A12B.6	clec-112
T23D8.2	tsp-7
Y48G8AR.3	Y48G8AR.3
C32E8.4	C32E8.4
C54G4.1	rskn-2
W04C9.1	haf-4
C10H11.6	ugt-26
Y95D11A.3	Y95D11A.3
F25D7.5	F25D7.5
T04D3.4	gcy-35
F56H6.13	F56H6.13
ZK973.1	ZK973.1
T28F2.7	T28F2.7
ZK484.4	ZK484.4
F32B4.4	F32B4.4
Y95B8A.5	gpa-16
W02A11.3	W02A11.3
F52B5.2	F52B5.2
Y65B4A.3	Y65B4A.3
C43E11.4	tufm-2
F21C3.5	pfd-6
ZC581.2	ZC581.2
T05F1.4	T05F1.4
F56C11.6	F56C11.6
D2092.1	D2092.1
F15D3.7	F15D3.7
F30A10.6	F30A10.6
F56G4.7	F56G4.7
F11A6.2	scrm-4
Y20F4.2	Y20F4.2
T05F1.11	T05F1.11
M05B5.5	hlh-2
F55A12.9	pqn-44
W03G9.3	W03G9.3
Y67A6A.1	Y67A6A.1
F58D5.6	F58D5.6
Y105E8A.10	Y105E8A.10
C53H9.1	rpl-27
F48C1.2	fbxa-145
R06C1.3	wve-1
C41D11.4	C41D11.4
C27A12.10	mbd-2
C34B2.7	sdha-2
T28B8.6	T28B8.6
K03E5.3	cdk-2
T19B4.1	T19B4.1
Y110A7A.16	elpc-1
T08B2.5	T08B2.5
T01G9.3	T01G9.3
T23H4.1	inx-20
C55B7.1	glh-2
Y48G8AL.5	Y48G8AL.5
Y105E8A.32	Y105E8A.32
Y18D10A.23	Y18D10A.23
C25A1.5	C25A1.5
Y71G12B.16	Y71G12B.16
F47G4.2	F47G4.2
K06A5.2	K06A5.2
T02E1.2	T02E1.2
C50F2.7	C50F2.7
F02E9.10	F02E9.10
F36A2.4	twk-30
B0261.4	B0261.4
F58D5.1	hrp-2
F53F10.3	F53F10.3
C36B1.7	C36B1.7
C31H5.3	acr-19
C12C8.2	C12C8.2
C36B1.8	C36B1.8
C24A11.8	frm-4
Y39G10AL.1	Y39G10AL.1
T02G6.5	T02G6.5
F46F11.2	cey-2
C47F8.5	C47F8.5
M05B5.6	M05B5.6
Y105E8B.6	Y105E8B.6
F28C12.7	sra-22
Y110A7A.21	Y110A7A.21
C24G7.1	C24G7.1
F47B3.1	F47B3.1
Y53C10A.9	abt-5
W02D3.10	W02D3.10
T15D6.3	gly-17
F32H2.3	spd-2
Y6B3B.3	Y6B3B.3
W04A4.4	W04A4.4
T28F2.1	T28F2.1
T23H2.4	T23H2.4
Y92H12BR.3	Y92H12BR.3
B0205.5	B0205.5
Y47H9C.10	fbxa-216
F46A9.3	twk-29
D2030.11	D2030.11
Y48G10A.4	Y48G10A.4
DY3.5	pqn-26
F25H5.5	F25H5.5
D1007.13	D1007.13
K10C3.4	K10C3.4
C41G7.3	C41G7.3
F36A2.2	F36A2.2
Y71G12B.9	lin-65
ZK39.3	clec-94
E01A2.2	E01A2.2
T01G9.1	T01G9.1
Y71F9B.1	Y71F9B.1
H05L14.2	H05L14.2
K11D2.3	unc-101
Y106G6G.1	Y106G6G.1
ZC328.4	san-1
Y54E5B.3	let-49
F17B5.2	F17B5.2
ZK524.4	ZK524.4
M01E11.1	M01E11.1
T09E11.7	T09E11.7
F31C3.1	cyn-5
Y18D10A.12	clec-106
Y65B4BR.1	Y65B4BR.1
ZK858.3	clec-91
W01B11.6	W01B11.6
F27C1.3	F27C1.3
W02A11.1	W02A11.1
Y71F9B.9	Y71F9B.9
T09B4.3	T09B4.3
F21F3.5	unc-38
C01G8.5	erm-1
C06A5.3	C06A5.3
Y54E10A.11	Y54E10A.11
H06O01.1	pdi-3
C17E4.4	C17E4.4
W03D8.8	W03D8.8
R05D11.1	daf-8
C55B7.8	dbr-1
C46H11.7	C46H11.7
F43G9.5	F43G9.5
F17B5.5	clec-110
C15A11.3	sol-1
Y37F4.7	Y37F4.7
D2030.1	D2030.1
R05D11.5	R05D11.5
K05C4.2	K05C4.2
Y92H12A.4	Y92H12A.4
F09C3.3	fbxb-68
C30F12.7	C30F12.7
K06A5.3	K06A5.3
Y54E10BL.3	Y54E10BL.3
C48E7.1	C48E7.1
ZK39.2	clec-95
Y63D3A.4	Y63D3A.4
F26H9.2	F26H9.2
D1037.3	ftn-2
C10G11.8	C10G11.8
F36F2.1	F36F2.1
Y48G8AL.14	aps-3
Y105E8A.7	eat-18
K08C9.5	K08C9.5
W03G9.8	W03G9.8
Y71A12B.8	Y71A12B.8
F57B10.4	F57B10.4
C37A5.11	C37A5.11
B0205.13	B0205.13
K07A1.4	K07A1.4
T25G3.3	T25G3.3
C35E7.8	C35E7.8
ZK858.7	ZK858.7
Y106G6H.3	rpl-30
F30A10.12	F30A10.12
T22A3.2	hsp-12.1
ZK265.6	ZK265.6
K07A1.10	K07A1.10
Y106G6H.4	Y106G6H.4
F59C6.6	nlp-4
F26E4.3	F26E4.3
F25H2.12	F25H2.12
W01B11.2	sulp-6
T03F1.10	clec-53
Y6B3B.5	Y6B3B.5
Y48G1BL.1	Y48G1BL.1
F10G8.7	F10G8.7
W05F2.3	W05F2.3
R05D7.3	R05D7.3
Y71G12B.5	Y71G12B.5
F56A6.5	F56A6.5
Y47H9C.2	Y47H9C.2
T26E3.6	T26E3.6
Y71G12B.20	mab-20
Y54E10A.16	Y54E10A.16
C27C7.2	C27C7.2
Y105E8B.9	Y105E8B.9
Y53C10A.15	Y53C10A.15
F33D11.9	F33D11.9
C32F10.2	lin-35
Y37E3.11	Y37E3.11
F43G9.9	cpn-1
C55C2.4	C55C2.4
F53G12.3	F53G12.3
M04C9.4	M04C9.4
C18E3.9	C18E3.9
C01H6.9	C01H6.9
Y110A7A.4	Y110A7A.4
C41G7.2	klp-16
F55F8.9	F55F8.9
F33H2.6	F33H2.6
Y48G1C.5	Y48G1C.5
Y47G6A.28	tag-63
C18E3.3	C18E3.3
Y48G1BM.5	Y48G1BM.5
F22D6.12	gly-19
C01A2.3	C01A2.3
C43H8.2	C43H8.2
T02G6.4	T02G6.4
F28B3.1	F28B3.1
Y87G2A.11	Y87G2A.11
F27D4.6	F27D4.6
B0041.6	ptps-1
C03D6.6	C03D6.6
F31C3.4	F31C3.4
F32H2.11	F32H2.11
ZK909.5	fbxb-70
Y73E7A.9	adpr-1
Y71A12B.3	Y71A12B.3
Y87G2A.7	Y87G2A.7
F55F8.6	F55F8.6
C49A1.1	C49A1.1
B0207.11	B0207.11
W02D9.8	W02D9.8
C53D5.3	C53D5.3
Y40B1B.5	Y40B1B.5
T23D8.4	eif-3.C
F59A3.9	pup-3
F56H6.6	F56H6.6
T01G9.2	T01G9.2
T01H8.1	rskn-1
C37A5.4	fipr-23
K05C4.10	K05C4.10
C43E11.8	exoc-7
T04D1.4	tag-192
T22C1.6	T22C1.6
D1081.4	D1081.4
F22G12.5	F22G12.5
T24D1.3	T24D1.3
E03H4.3	E03H4.3
M01A10.2	tom-1
W03D8.10	W03D8.10
B0019.1	amx-2
F26A3.6	del-3
C04F12.12	C04F12.12
K05C4.5	K05C4.5
F56F4.4	F56F4.4
W09C3.8	W09C3.8
F22D6.7	F22D6.7
F26A3.5	F26A3.5
F18C12.3	F18C12.3
Y18H1A.7	Y18H1A.7
C31H5.6	C31H5.6
F41D3.2	F41D3.2
T22C1.12	T22C1.12
C26C6.2	goa-1
T07D10.1	T07D10.1
F30F8.5	F30F8.5
F02E9.7	F02E9.7
Y54E10A.14	rom-5
F36F2.8	F36F2.8
C35E7.6	C35E7.6
C10H11.9	let-502
T08B2.8	T08B2.8
T06G6.7	srw-88
B0511.3	fbxa-125
F48C1.4	F48C1.4
F35E2.5	F35E2.5
C55B7.2	gly-2
F57C9.1	F57C9.1
F14B6.5	F14B6.5
B0205.11	B0205.11
D1007.5	D1007.5
C37A2.8	C37A2.8
C17F3.3	C17F3.3
F52F12.4	lsl-1
C48B6.4	C48B6.4
Y110A7A.18	ppw-2
F27D4.4	F27D4.4
F57C9.3	F57C9.3
W04A8.5	W04A8.5
C34B7.2	C34B7.2
T07D10.3	T07D10.3
C03D6.1	C03D6.1
M05B5.2	M05B5.2
F36D1.1	F36D1.1
Y54E10A.9	vbh-1
Y53H1C.1	aat-9
C48E7.11	C48E7.11
Y71F9AL.4	Y71F9AL.4
ZK1225.4	ZK1225.4
C17H1.3	C17H1.3
W09C5.7	W09C5.7
T28F4.6	T28F4.6
K07A12.2	K07A12.2
F15D3.8	F15D3.8
Y71F9AM.5	nxt-1
Y95B8A.6	Y95B8A.6
C17H1.6	C17H1.6
T23B3.1	T23B3.1
Y119C1B.9	Y119C1B.9
W09C5.2	unc-59
C54C8.11	gly-15
C32E12.4	C32E12.4
Y47G6A.22	Y47G6A.22
Y26D4A.14	Y26D4A.14
C48B6.9	C48B6.9
